Name,Amount
TSLA,2829.06
PLTR,2776.48
NVDA,1632.68
AMD,1544.44
QQQ,1362.29
NTLA,924.32
AI,624.96
SOXX,484.9
KRTX,458.52
META,272.61
ETH,200
Cash,180
SOFI,156.86
BITO,120.16
SQ,98.64
COIN,94.6
